HDS SKU #,SAP_CREATED_DATE,Internal Supplier Part #,DESCRIPTION,HDS_SUPPLIER_NUMBER,HDS_SUPPLIER_NAME,ProductHierarchy,MCAT,PCAT,ORDER_UNIT,EINA_PIR_QTY,EINA_UMREN,BASE_MARM_UMREN,BASE_QTY_OF_UOM,MATTYPE,GENITEMCAT,BUOM,AUOM,LENGTH_,WIDTH_,HEIGHT_,WEIGHT_,UPC,VOLUM,BASE_QUANTITY,EA_QTY_OF_UOM,EA_LENGTH_,EA_WIDTH_,EA_HEIGHT_,EA_WEIGHT_,EA_UPC,EA_VOLUM,EA_PACKAGING_LEVEL,PKG_QTY_OF_UOM,PKG_LENGTH_,PKG_WIDTH_,PKG_HEIGHT_,PKG_WEIGHT_,PKG_UPC,PKG_VOLUM,PKG_PACKAGING_LEVEL,PKG2_QTY_OF_UOM,PKG2_LENGTH_,PKG2_WIDTH_,PKG2_HEIGHT_,PKG2_WEIGHT_,PKG2_UPC,PKG2_VOLUM,PKG2_PACKAGING_LEVEL,CS_QTY_OF_UOM,CS_LENGTH_,CS_WIDTH_,CS_HEIGHT_,CS_WEIGHT_,CS_UPC,CS_VOLUM,CS_PACKAGING_LEVEL,PAL_QTY_OF_UOM,PAL_LENGTH_,PAL_WIDTH_,PAL_HEIGHT_,PAL_WEIGHT_,PAL_UPC,PAL_VOLUM,PAL_PACKAGING_LEVEL,MATRN_Duplicate,CONCAT_Error_Msg,Base_UOM_missing,Base_QTY_missing,Base_UPC_duplicate_found,Base_UPC_missing,Base_UPC_invalid,Base_Level_dimensions_missing,Base_weight_missing,Each_Level_data_missing,Each QTY > 1,Each dims = 0,Each weight = 0,Each_UPC_is_blank_or_0,Each_UPC_duplicate_found,Each_UPC_invalid,Each_Level_packaging_format_incorrect,Inner_Pack_Level_data_missing,Inner Pack QTY = 0,Inner Pack QTY = 1,Inner Pack dims = 0,Inner Pack dims = Each dims,Inner Pack dims < Each dims,Inner Pack weight = 0,Inner Pack weight = Each weight,Inner_Pack_weight_incorrect,Inner_Pack_UPC_is_blank_or_0,Inner_Pack_UPC_duplicate_found,Inner_Pack_UPC_invalid,Inner Pack UPC = Each UPC,Inner_Pack_Level_packaging_format_incorrect,Case_Level_data_missing,Case QTY = 0,Case QTY = 1,Case QTY = Inner Pack QTY,Case dims = 0,Case dims = Each dims,Case dims = Inner Pack dims,Case dims < Each dims,Case dims < Inner Pack dims,Case weight = 0,Case weight = Each weight,Case weight =  Inner Pack weight,Case_weight_incorrect,Case_UPC_is_blank_or_0,Case_UPC_duplicate_found,Case_UPC_invalid,Case UPC = Each UPC,Case UPC = Inner Pack UPC,Case_Level_packaging_format_incorrect,Pallet_Level_data_missing,Pallet QTY = 0,Pallet QTY = 1,Pallet QTY = Case QTY,Pallet dims = 0,Pallet dims = Each dims,Pallet dims = Inner Pack dims,Pallet dims = Case dims,Pallet dims < Each dims,Pallet dims < Inner Pack dims,Pallet dims < Case dims,Pallet weight = 0,Pallet weight = Each weight,Pallet weight = Inner Pack weight,Pallet weight = Case weight,Pallet_weight_incorrect,Pallet_UPC_duplicate_found,Pallet_UPC_invalid,Pallet UPC = Each UPC,Pallet UPC = Inner Pack UPC,Pallet UPC = Case UPC,Pallet_Level_packaging_format_incorrect,Requires Case level,Data_missing_for_all_levels,Duplicate_UPC_at_all_levels,UOM_and_PKG_Qty_mismatch,AUOM data < BUOM data,HDS SKU# duplicate found,Base dims = 1,Each dims = 1,Inner Pack dims = 1,Inner_Pack_QTY_is_incorrect,Case dims = 1,Case_QTY_is_incorrect,Pallet dims = 1,Pallet_QTY_is_incorrect,Pallet_dims_seem_high,DC_Ready
350714,20190816,R80MSL0701412A,Smartcomfort By Carrier 80% Afue Single Stage Low Nox Heating Furnace 70k BTU,0000014420,INTERNATIONAL COMFORT PRODUCTS,06404221,HVAC,"Air Handlers, Furnaces & Coils",EA,1,1,1,1,HAWA,ZNOR,EA,EA,30.812,16.000,35.875,107,813457025461,10.235,1,1,30.812,16.000,35.875,107.000,813457025461,10.235,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
294549,20160929,WAS08650L30BK,"LED Wall Sconce 9 Watt, 8-1/2 X 5 X 2-1/4 Inch, 120 Volt",2000501794,"AFX, INC. (YANTIAN)",23511911,Lighting Fixtures,LED Fixtures,EA,1,1,1,1,HAWA,ZNOR,EA,EA,5.550,2.450,9.220,1.1,037949427100,0.073,1,1,5.550,2.450,9.220,1.100,037949427100,0.073,EA,,,,,,,,,,,,,,,,,6,12.100,8.050,10.100,7.540,60037949427102,0.569,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
103937,20200217,DND-HTLRL-1908,"RDI-USA Red Lion Hotels Do Not Disturb Sign, Case Of 100",0000041267,"RDI-USA, INC",14860602,Hospitality Supply,Guest Room Printed Supplies,CS,1,1,1,1,HAWA,ZNOR,CS,CS,9.250,3.750,2.250,2.5,816215025147,0.045,100,,,,,,,,,,,,,,,,,,,,,,,,,1,9.250,3.750,2.250,2.500,816215025147,0.045,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
345462,20240405,C1060927DE12D1A,"Maintenance Warehouse 4 Watt Ca10 Led, Candelabra, Clear, 2700k, Package Of 12",2000501784,"GLOBAL VALUE LIGHTING, LLC.",25509300,Lamps & Ballasts,LED Decorative Bulbs,CS,4,1,1,4,HAWA,ZNOR,PKG,PKG,5.430,7.170,5.900,0.91,10194671051694,0.133,12,,,,,,,,,1,5.430,7.170,5.900,0.910,10194671051694,0.133,PKG,,,,,,,,,4,8.350,12.990,12.360,3.650,30194671051698,0.776,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
373745,20250319,14608,Erwyn Malibu White Wastebasket Case Of 3,0000042968,ERWYN PRODUCTS CO.,14860504,Hospitality Supply,Guest Room Supplies,CS,1,1,1,1,HAWA,ZNOR,CS,CS,29.500,10.000,13.000,20,021499146086,2.219,3,,,,,,,,,,,,,,,,,,,,,,,,,1,29.500,10.000,13.000,20.000,021499146086,2.219,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
821148,20140605,528GT,Korky Genuine Toto Fill Valve,0000013771,LAVELLE IND (KORKY),26554009,Kitchen & Bath,Toilet & Tank Repair,EA,1,1,1,1,HAWA,ZNOR,EA,EA,2.600,4.250,10.500,0.58,049057104385,0.067,1,1,2.600,4.250,10.500,0.580,049057104385,0.067,EA,,,,,,,,,,,,,,,,,5,10.500,12.500,7.000,3.450,10049057104382,0.532,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
246405,20220916,PROG40-38U RH62 EC1-1,"Rheem Professional Classic 40 G Tall 38,000 BTU Low Nox Natural Gas Water Heater",0000013644,"RHEEM MANUFACTURING SALES, INC",26401501,Kitchen & Bath,Water Heaters,EA,1,1,1,1,HAWA,ZNOR,EA,EA,23.310,20.500,61.880,130,020352677712,17.112,1,1,23.310,20.500,61.880,130.000,020352677712,17.112,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
131439,20150831,P700,Southwire® Southwire Dual Line Telephone Tester,0000018143,SOUTHWIRE COMPANY,07601002,Electrical,Electrical Tools & Meters,EA,1,1,1,1,HAWA,ZNOR,EA,EA,1.200,3.550,5.900,0.1,032886935268,0.015,1,1,1.200,3.550,5.900,0.100,032886935268,0.015,EA,,,,,,,,,,,,,,,,,12,6.500,7.500,8.500,1.500,30032886935269,0.240,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
361900,20241125,C008083-CS4X1G,"Caribbean Blue Algaecide Plus Clarifier, 1 Gallon, Case Of 4",2000503106,HAVILAND CONSUMER PRODUCTS,03000701,Grounds,Pool Chemicals,CS,1,1,1,1,HAWA,ZNOR,CS,CS,12.100,12.100,12.100,36,025551872975,1.025,4,,,,,,,,,,,,,,,,,,,,,,,,,1,12.100,12.100,12.100,36.000,025551872975,1.025,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
314970,20091107,90/445,"Satco® Medium Base Socket, Keyless, 1 Light, 660 Watt, Porcelain Ceiling, Ivory",0000019476,"SATCO PRODUCTS, INC.",23512300,Lighting Fixtures,Replacement Lenses & Repair,EA,1,1,1,1,HAWA,ZNOR,EA,EA,4.700,4.600,1.950,0.635,045923904455,0.024,1,1,4.700,4.600,1.950,0.635,045923904455,0.024,EA,,,,,,,,,,,,,,,,,60,18.000,10.000,15.000,42.670,10045923904452,1.563,CS,1800,40.000,48.000,48.000,1250.000,,53.334,PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
